fcode,nama stasiun,kode stasiun,kd_prov,kabkot,provinsi,srs_id,objectid
CD01050140,Sampang,SPG,35,KAB. SAMPANG,JAWA TIMUR,WGS 1984,710
CD01050140,Pamekasan,PM,35,KAB. PAMEKASAN,JAWA TIMUR,WGS 1984,711
CD01050140,Kalianget,KLG,35,KAB. SUMENEP,JAWA TIMUR,WGS 1984,712
CD01050140,Sumenep,SMN,35,KAB. SUMENEP,JAWA TIMUR,WGS 1984,713
CD01050140,Pasirian,PSR,35,KAB. LUMAJANG,JAWA TIMUR,WGS 1984,579
CD01050140,Ambulu,ABL,35,KAB. JEMBER,JAWA TIMUR,WGS 1984,589
CD01050140,Balung,BUG,35,KAB. JEMBER,JAWA TIMUR,WGS 1984,590
CD01050140,Kaliwates,KLW,35,KAB. JEMBER,JAWA TIMUR,WGS 1984,591
CD01050140,Kasiyamlor,KYR,35,KAB. JEMBER,JAWA TIMUR,WGS 1984,592
CD01050140,Puger,PG,35,KAB. JEMBER,JAWA TIMUR,WGS 1984,596
CD01050140,Sumberbaru,SBB,35,KAB. JEMBER,JAWA TIMUR,WGS 1984,598
CD01050140,Sumber Salak,SBS,35,KAB. BLITAR,JAWA TIMUR,WGS 1984,599
CD01050140,Benculuk,BEN,35,KAB. BANYUWANGI,JAWA TIMUR,WGS 1984,612
CD01050140,Kabat Baru,KBL,35,KAB. BANYUWANGI,JAWA TIMUR,WGS 1984,613
CD01050140,Kabat Lama,,35,KAB. BANYUWANGI,JAWA TIMUR,WGS 1984,614
CD01050140,Kempit,KP,35,KAB. BANYUWANGI,JAWA TIMUR,WGS 1984,615
CD01050140,Krikilan,KKL,35,KAB. BANYUWANGI,JAWA TIMUR,WGS 1984,616
CD01050140,Srono,SRO,35,KAB. BANYUWANGI,JAWA TIMUR,WGS 1984,617
CD01050140,BONDOWOSO,BO,35,KAB. BONDOWOSO,JAWA TIMUR,WGS 1984,618
CD01050140,Panarukan,PNR,35,KAB. SITUBONDO,JAWA TIMUR,WGS 1984,619
CD01050140,Panji,PJ,35,KAB. SITUBONDO,JAWA TIMUR,WGS 1984,620
CD01050140,Situbondo,SIT,35,KAB. SITUBONDO,JAWA TIMUR,WGS 1984,621
CD01050140,Seulimeum,SMM,11,KAB. ACEH BESAR,ACEH,WGS 1984,2
CD01050140,Beureunun,BUN,11,KAB. PIDIE,ACEH,WGS 1984,3
CD01050140,Lammeulo,-,11,KAB. PIDIE,ACEH,WGS 1984,4
CD01050140,Sigli,SGI,11,KAB. PIDIE,ACEH,WGS 1984,5
CD01050140,Bireuen,BIR,11,KAB. BIREUEN,ACEH,WGS 1984,8
CD01050140,Kuala Simpang,-,11,KAB. ACEH TAMIANG,ACEH,WGS 1984,9
